"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"tatarto9020122013","Tomas.Tatar","LR","DET",18,20122013,21,"0.600","0.630",1,1,0,0,8,1,2,0,0,0,0,1,2.04,29.38,63.38,31.68
"tavarjo9020122013","John.Tavares","C","NYI",45,20122013,21,"4.000","5.500",0,4,1,6,32,20,15,0,9,2,0,1,0.38,159.37,72.13,68.84
"tedenma9020122013","Mattias.Tedenby","L","N.J",4,20122013,22,"0.875","0.875",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,24.64,1.99
"tennyma9020122013","Matt.Tennyson","D","S.J",4,20122013,22,"0.925","0.925",0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,22.46,0.63
"terrych8920122013","Chris.Terry","RL","CAR",3,20122013,23,"0.525","0.537",0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,15.71,3.43
"thomach9220122013","Christian.Thomas","R","NYR",1,20122013,20,"0.715","0.808",0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,2.25,38.91
"thompna8420122013","Nate.Thompson","C","T.B",45,20122013,27,"0.850","0.900",0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,248.65,1.92
"thorbch8320122013","Chris.Thorburn","LR","WPG",42,20122013,29,"0.850","0.867",0,1,0,0,0,0,0,0,0,0,0,0,0,2.04,217.97,0.93
"thornjo7920122013","Joe.Thornton","C","S.J",46,20122013,33,"7.000","7.000",4,2,10,9,19,7,5,0,4,1,3,0,-1.15,155.93,109.69,58.7
"thornsh7720122013","Shawn.Thornton","R","BOS",44,20122013,35,"1.100","1.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,182.33,0.19
"timmisc8920122013","Scott.Timmins","C","FLA",5,20122013,23,"0.590","0.582",0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,19.15,2
"timonki7520122013","Kimmo.Timonen","D","PHI",45,20122013,37,"3.000","6.333",0,1,10,4,25,6,24,7,4,2,2,1,-0.35,171.46,87.95,66.1
"tinorja9220122013","Jarred.Tinordi","D","MTL",8,20122013,20,"0.900","0.870",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,47.03,0
"tlustji8820122013","Jiri.Tlusty","LR","CAR",48,20122013,24,"1.500","1.600",2,8,2,2,12,8,2,1,4,0,1,1,0,123.03,137.03,47.31
"toewsjo8820122013","Jonathan.Toews","C","CHI",46,20122013,24,"6.000","6.300",1,10,2,2,16,4,9,1,3,2,0,1,0.46,130.22,126.11,50.8
"toffoty9220122013","Tyler.Toffoli","RL","L.A",10,20122013,20,"0.700","0.717",0,1,0,1,3,1,0,0,1,0,0,0,0,13.53,30.5,30.72
"tootojo8320122013","Jordin.Tootoo","R","DET",42,20122013,29,"1.700","1.900",0,0,1,0,0,0,0,0,0,0,1,0,-20.81,2.88,255.04,1.12
"torrera8120122013","Raffi.Torres","L","PHX/S.J",37,20122013,30,"1.750","1.750",0,2,0,0,3,4,2,0,3,0,2,0,-2.83,42.41,142.77,22.9
"turriky8920122013","Kyle.Turris","C","OTT",47,20122013,23,"1.600","1.400",1,9,4,2,12,6,5,1,4,1,3,1,-0.91,132.07,119.76,52.44
"tyrelda8920122013","Dana.Tyrell","C","T.B",21,20122013,23,"0.600","0.600",1,0,0,0,0,0,0,0,0,0,0,0,0,3.08,106.9,2.8
"tyutife8320122013","Fedor.Tyutin","D","CBJ",48,20122013,29,"4.000","4.500",5,2,4,1,10,10,16,2,2,0,1,1,0,125.11,131.43,48.77
"ullstda8920122013","David.Ullstrom","LR","NYI",20,20122013,23,"0.688","0.637",1,0,0,0,2,1,0,0,0,0,0,0,0,2.89,120.99,2.33
"umberrj8220122013","R.J..Umberger","LR","CBJ",48,20122013,30,"NA","NA",2,14,0,3,16,4,4,0,2,1,1,1,0,121.43,135.1,47.34
"upshasc8320122013","Scottie.Upshall","RL","FLA",26,20122013,28,"3.500","3.500",0,1,0,0,6,2,1,0,0,0,3,1,-5.2,23.06,105.49,17.94
"urbomal9020122013","Alexander.Urbom","D","N.J",1,20122013,21,"0.525","0.563",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,3.47,0
"vandech8720122013","Chris.Vandevelde","C","EDM",10,20122013,25,"0.714","0.714",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,62.33,0
"vandeda8320122013","David.van.Der.Gulik","LR","COL",9,20122013,29,"0.575","0.575",0,0,0,0,1,0,0,0,0,0,0,0,0,1.1,50.83,2.12
"vanekth8420122013","Thomas.Vanek","RL","BUF",37,20122013,28,"6.400","7.143",1,3,1,3,25,9,7,0,7,3,0,2,0.99,121.12,74.22,62.01
"vanrija8920122013","James.van.Riemsdyk","L","TOR",47,20122013,23,"2.500","4.250",5,6,1,0,20,8,3,0,4,0,3,0,-1.36,132,116.23,53.18
"vatansa9120122013","Sami.Vatanen","D","ANA",8,20122013,21,"0.840","0.785",0,2,0,0,1,0,3,0,0,1,0,0,0,22.64,19.15,54.18
"vermean8220122013","Antoine.Vermette","C","PHX",47,20122013,30,"3.750","3.750",0,8,0,0,11,6,6,0,2,0,1,0,-0.51,118.23,152.07,43.74
"verstkr8620122013","Kris.Versteeg","LR","FLA",10,20122013,26,"3.600","4.400",0,4,0,1,6,0,1,0,0,0,0,0,0,22.86,33.75,40.38
"vincoto9020122013","Tomas.Vincour","RL","COL/DAL",16,20122013,21,"0.655","0.622",2,0,0,0,0,1,0,0,0,0,0,0,0,2.28,86.3,2.58
"visnolu7620122013","Lubomir.Visnovsky","D","NYI",33,20122013,36,"3.000","5.600",0,3,2,5,14,3,11,2,9,0,1,0,-0.56,106.79,46,69.89
"vitaljo8520122013","Joe.Vitale","CR","PIT",32,20122013,27,"0.525","0.550",0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,183.36,0.97
"vlasima8720122013","Marc-Edouard.Vlasic","D","S.J",46,20122013,25,"3.700","3.100",1,2,0,0,3,0,3,2,0,0,1,0,-2.1,28.55,237.07,10.75
"volchan8220122013","Anton.Volchenkov","D","N.J",37,20122013,30,"4.250","4.250",0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,213.99,0.62
"volpaaa8520122013","Aaron.Volpatti","L","VAN/WSH",33,20122013,27,"0.600","0.600",0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,205.57,1.67
"voracja8920122013","Jakub.Voracek","R","PHI",48,20122013,23,"3.500","4.250",1,5,4,5,44,16,22,0,6,2,2,1,-0.35,173.03,99.41,63.51
"voynosl9020122013","Slava.Voynov","D","L.A",48,20122013,22,"0.787","0.762",1,2,4,3,10,10,14,0,6,1,0,0,0,100.81,143.38,41.28
"vrbatra8120122013","Radim.Vrbata","R","PHX",34,20122013,31,"3.000","3.000",2,1,5,3,18,9,10,0,5,0,2,0,-1.14,104.96,90.49,53.7
"wallati8420122013","Tim.Wallace","R","CAR",28,20122013,28,"0.700","0.700",0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,125.04,0.65
"wandeto8720122013","Tom.Wandell","CL","DAL",18,20122013,25,"0.892","0.892",0,1,0,0,0,0,0,0,0,0,0,0,0,2.08,100.47,2.03
"wardxjo8020122013","Joel.Ward","R","WSH",39,20122013,31,"3.000","3.000",3,4,2,0,5,1,6,0,0,0,0,1,0.85,70.56,142.28,33.15
"wathifr8420122013","Francis.Wathier","L","DAL",1,20122013,27,"0.575","0.575",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6.4,0
"watsoau9220122013","Austin.Watson","CR","NSH",5,20122013,20,"0.900","0.870",0,1,0,0,0,0,0,0,1,0,0,0,0,6.68,12.93,34.07
"weavemi7820122013","Mike.Weaver","D","FLA",27,20122013,34,"1.100","1.100",0,0,0,0,0,0,0,0,0,1,0,0,0,4.04,150.82,2.61
"webermi8720122013","Mike.Weber","D","BUF",41,20122013,24,"1.000","0.950",0,2,0,0,0,0,0,0,0,0,1,0,-14.06,4.27,221.48,1.89
"webersh8520122013","Shea.Weber","D","NSH",46,20122013,27,"14.000","7.857",1,2,4,5,39,18,20,0,6,0,0,0,0,170.51,59.35,74.18
"weberya8820122013","Yannick.Weber","D","MTL",6,20122013,23,"0.900","0.850",0,0,1,0,1,2,3,1,0,1,1,0,-6.1,9.84,34.97,21.96
"weiseda8820122013","Dale.Weise","R","VAN",40,20122013,24,"0.615","0.615",0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,232.57,1.17
"weissst8320122013","Stephen.Weiss","LC","FLA",16,20122013,29,"4.100","3.100",0,2,0,1,4,2,6,0,0,1,1,1,0,41.75,48.73,46.15
"wellwer9020122013","Eric.Wellwood","L","PHI",4,20122013,22,"0.540","0.580",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,28.02,1.06
"wellwky8320122013","Kyle.Wellwood","RC","WPG",38,20122013,29,"1.600","1.600",3,0,0,2,1,1,1,0,0,0,1,0,-1.65,36.39,155.29,18.99
"welshje8820122013","Jeremy.Welsh","CL","CAR",5,20122013,24,"0.700","0.850",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,25.98,0
"westgke8420122013","Kevin.Westgarth","RL","CAR",31,20122013,28,"0.700","0.725",0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,156.68,0.64
"wheelbl8620122013","Blake.Wheeler","R","WPG",47,20122013,26,"2.650","2.550",4,10,5,0,15,9,4,0,3,0,1,2,0.49,123.12,114.08,51.91
"whiteia8420122013","Ian.White","D","DET",25,20122013,28,"2.750","2.875",1,0,0,0,8,7,7,1,1,0,0,0,0,59.09,86.34,40.63
"whitery8820122013","Ryan.White","CR","MTL",26,20122013,24,"0.688","0.688",0,0,0,0,0,0,0,0,0,0,0,1,25.17,2.38,158.67,1.48
"whitnra7220122013","Ray.Whitney","LR","DAL",31,20122013,40,"4.500","4.500",0,0,2,6,15,12,16,3,13,1,0,1,0.51,118.75,62.79,65.41
"whitnry8320122013","Ryan.Whitney","D","EDM",32,20122013,29,"5.500","4.000",1,0,2,5,5,1,9,6,1,0,0,0,0,78.03,93.4,45.52
"widemde8320122013","Dennis.Wideman","D","CGY",45,20122013,29,"5.000","5.250",1,5,3,6,27,15,25,0,7,2,2,0,-0.76,157.22,79.88,66.31
"wiercpa9020122013","Patrick.Wiercioch","D","OTT",41,20122013,22,"0.875","0.875",4,3,5,2,28,5,20,1,1,0,1,0,-0.63,95.22,117.33,44.8
"williju8120122013","Justin.Williams","R","L.A",48,20122013,30,"3.900","3.650",1,5,1,4,12,17,10,0,0,1,1,0,-0.6,99.33,144.86,40.68
"wilsoco8920122013","Colin.Wilson","C","NSH",25,20122013,22,"1.500","2.000",2,1,2,2,2,1,0,0,2,0,0,0,0,53.55,75.33,41.55
"wilsory8720122013","Ryan.Wilson","D","COL",12,20122013,25,"2.000","2.250",0,1,0,0,0,1,1,0,0,0,1,0,-10.83,5.54,57.31,8.82
