"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"alberan8120112012","Andrew.Alberts","D","VAN",44,20112012,30,"1.225","1.225",79,71,0,1,17,11,31,36,13,10,9,6,-0.32,568.62,1466.7,27.94
"emelial8620112012","Alexei.Emelin","D","MTL",67,20112012,25,"0.984","0.984",212,98,2,1,46,23,50,71,42,6,13,21,0.47,1024.71,2070.53,33.11
"troppco8920112012","Corey.Tropp","RL","BUF",34,20112012,22,"0.592","0.587",47,73,2,3,29,8,8,18,7,6,4,1,-0.54,333.51,1329.82,20.05
"kulikdm9020112012","Dmitry.Kulikov","D","FLA",58,20112012,20,"0.900","0.900",93,136,8,6,62,40,54,68,34,22,12,8,-0.25,979.17,1798.33,35.25
"hendrma8120112012","Matt.Hendricks","LR","WSH",78,20112012,30,"0.850","0.825",205,93,3,1,87,35,37,42,12,23,15,15,0,826.9,2949.41,21.9
"ferenan7920112012","Andrew.Ference","D","BOS",72,20112012,32,"2.250","2.250",57,113,6,9,79,45,63,68,34,5,6,6,0,1122.97,2349.03,32.34
"boylebr8420112012","Brian.Boyle","CL","NYR",82,20112012,26,"1.600","1.700",227,92,7,6,131,61,61,46,9,18,8,13,0.3,992.87,2884.46,25.61
"leexxbr8720112012","Brian.Lee","D","OTT/T.B",55,20112012,24,"0.925","0.875",120,60,5,9,28,29,21,49,21,7,15,1,-1.13,740.73,1857.44,28.51
"kostoto7920112012","Tom.Kostopoulos","R","CGY",81,20112012,32,"1.100","0.917",121,77,4,4,80,17,36,32,21,21,11,8,-0.2,883.42,2996.87,22.77
"bollxja8620112012","Jared.Boll","R","CBJ",54,20112012,25,"0.750","0.725",96,51,1,0,32,18,11,10,3,7,10,7,-0.41,442.05,2075.62,17.56
"pyattta8120112012","Taylor.Pyatt","L","PHX",73,20112012,30,"1.200","1.000",133,128,5,4,98,32,36,19,7,14,5,7,0.14,857.14,2703.18,24.07
"mackede8120112012","Derek.MacKenzie","CL","CBJ",66,20112012,30,"0.600","0.600",186,51,2,4,48,16,14,13,9,18,6,11,0.53,565.06,2510.1,18.37
"kobasch8220112012","Chuck.Kobasew","R","COL",58,20112012,29,"1.250","1.250",60,60,5,1,51,17,28,17,6,13,8,7,-0.11,562.86,2240.43,20.08
"eberljo9020112012","Jordan.Eberle","R","EDM",78,20112012,21,"0.875","0.846",40,101,20,11,103,48,51,23,38,37,3,12,0.51,1049.64,2602.38,28.74
"liljaan7520112012","Andreas.Lilja","D","PHI",46,20112012,36,"0.775","0.738",56,54,3,3,34,8,10,61,17,6,14,4,-1.03,583.91,1479.85,28.29
"johnsaa8320112012","Aaron.Johnson","D","CBJ",56,20112012,28,"0.550","0.550",84,87,5,7,47,22,22,57,17,16,5,8,0.23,773.59,1848.49,29.5
"daugaka8820112012","Kaspars.Daugavins","L","OTT",65,20112012,23,"0.600","0.600",56,33,2,1,63,37,29,18,18,18,4,6,0.2,588.94,2494.72,19.1
"suterry8520112012","Ryan.Suter","D","NSH",79,20112012,26,"3.500","3.500",31,34,3,10,83,30,44,80,25,22,10,3,-0.28,1507.09,2342.93,39.15
"leblalo9120112012","Louis.Leblanc","RC","MTL",42,20112012,20,"0.900","0.870",66,28,3,2,53,21,18,18,9,15,11,3,-1.1,434.62,1500.31,22.46
"geoffbl8820112012","Blake.Geoffrion","LC","MTL/NSH",35,20112012,23,"0.850","0.850",39,42,2,1,25,13,22,11,9,11,6,3,-0.51,350.49,1248.67,21.92
"harrija8220112012","Jay.Harrison","D","CAR",72,20112012,28,"0.650","0.700",102,66,4,5,76,50,76,114,30,12,13,4,-0.45,1203.02,2235.39,34.99
"parroge7920112012","George.Parros","R","ANA",46,20112012,31,"0.875","0.875",57,36,3,0,16,7,5,16,8,5,7,4,-0.62,289.22,1931.16,13.03
"mottami7820112012","Mike.Mottau","D","BOS/NYI",35,20112012,33,"0.950","0.800",38,47,1,1,21,10,19,40,18,16,4,1,-0.41,438.57,1231.09,26.27
"mccleja8320112012","Jay.McClement","C","COL",80,20112012,28,"1.500","1.450",67,65,3,2,73,28,34,28,10,25,9,6,-0.22,822.06,3055.81,21.2
"jurcimi8320112012","Milan.Jurcina","D","NYI",65,20112012,28,"1.600","1.600",152,63,3,3,98,49,65,99,18,19,8,2,-0.36,1011.07,2174.51,31.74
"giordma8320112012","Mark.Giordano","D","CGY",61,20112012,27,"4.600","4.020",70,110,6,4,77,30,67,87,38,18,22,15,-0.42,1005.34,1915.94,34.41
"faulkju9220112012","Justin.Faulk","D","CAR",66,20112012,19,"0.790","0.840",102,102,1,5,50,27,46,64,13,27,2,2,0,1113.88,2062.62,35.07
"thornsh7720112012","Shawn.Thornton","R","BOS",81,20112012,34,"0.800","0.812",91,60,7,1,106,37,35,12,6,19,12,7,-0.42,719.67,3186.62,18.42
"pellero8420112012","Rod.Pelley","CL","ANA/N.J",52,20112012,27,"0.575","0.550",80,33,1,0,42,13,13,22,5,6,1,3,0.31,390.5,2169,15.26
"hamontr9020112012","Travis.Hamonic","D","NYI",73,20112012,21,"0.875","0.875",160,89,4,12,97,53,86,122,43,31,7,6,-0.05,1310.6,2238.4,36.93
"coglian8720112012","Andrew.Cogliano","C","ANA",81,20112012,24,"2.150","2.390",81,60,8,4,89,39,45,33,25,17,3,9,0.37,976.01,2880.9,25.31
"richabr8020112012","Brad.Richards","C","NYR",82,20112012,31,"12.000","6.667",46,65,12,9,126,47,57,40,29,36,6,7,0.05,1229.95,2647.38,31.72
"kubinpa7720112012","Pavel.Kubina","D","PHI/T.B",69,20112012,34,"3.500","3.850",113,119,5,5,54,27,43,91,22,17,19,7,-0.65,1103.32,2171.92,33.69
"komismi8220112012","Mike.Komisarek","D","TOR",45,20112012,29,"5.500","4.500",94,65,2,2,32,17,32,68,24,21,8,2,-0.55,651.66,1563.11,29.42
"emingst8320112012","Steve.Eminger","D","NYR",42,20112012,27,"0.800","0.800",56,62,1,0,16,10,15,40,7,4,9,4,-0.62,480.62,1461.19,24.75
"connoti8120112012","Tim.Connolly","C","TOR",70,20112012,30,"5.500","4.750",26,39,12,7,62,38,37,53,30,27,7,9,0.14,883.66,2548.87,25.74
"cartery8320112012","Ryan.Carter","C","FLA/N.J",72,20112012,28,"0.750","0.750",114,62,2,1,44,19,18,21,7,12,16,9,-0.61,691.83,2768.01,20
"whitery8820112012","Ryan.White","CR","MTL",20,20112012,23,"0.625","0.625",54,26,2,0,10,5,5,13,3,5,2,1,-0.25,242.69,678.35,26.35
"smithcr8920112012","Craig.Smith","R","NSH",72,20112012,22,"0.690","0.715",41,72,11,4,123,60,44,15,20,31,8,10,0.14,832.03,2676.86,23.71
"oreilca8620112012","Cal.O'Reilly","C","NSH/PHX/PIT",33,20112012,24,"NA","NA",4,16,3,1,13,7,9,10,4,9,2,3,0.17,342.98,1264.19,21.34
"leopojo8020112012","Jordan.Leopold","D","BUF",79,20112012,31,"3.000","3.000",47,129,4,4,74,27,64,104,32,9,8,4,-0.18,1351.27,2454.36,35.51
"connobr9220112012","Brett.Connolly","R","T.B",68,20112012,19,"0.900","0.900",56,81,3,6,79,33,23,19,15,9,9,8,-0.09,689.87,2562.7,21.21
"hedmavi9020112012","Victor.Hedman","D","T.B",61,20112012,20,"0.900","0.900",82,78,3,8,64,37,53,92,27,24,12,6,-0.33,1096.51,1824.9,37.53
"yipxxbr8520112012","Brandon.Yip","RL","COL/NSH",35,20112012,26,"0.750","0.725",50,24,3,1,37,11,9,10,4,8,3,3,0,357.67,1381.17,20.57
"morrobr7920112012","Brenden.Morrow","L","DAL",57,20112012,32,"4.100","4.100",114,44,4,8,61,25,29,26,38,16,21,12,-0.7,772.02,1867.93,29.24
"morride7820112012","Derek.Morris","D","PHX",59,20112012,33,"2.750","2.750",71,57,1,4,61,26,49,55,17,7,12,3,-0.61,891.07,1968.69,31.16
"fosteku8120112012","Kurtis.Foster","D","ANA/MIN/N.J",50,20112012,29,"1.800","1.800",38,44,0,1,45,17,21,31,11,2,9,1,-0.77,621.49,1751.6,26.19
"boyceda8420112012","Darryl.Boyce","CL","CBJ/TOR",37,20112012,27,"0.700","0.700",42,52,3,1,23,11,13,12,7,4,5,8,0.56,323.82,1420.22,18.57
"joslide8720112012","Derek.Joslin","D","CAR",44,20112012,24,"0.650","0.700",47,29,1,0,31,15,21,23,3,5,4,3,-0.14,418.09,1663.92,20.08
"hallxad8020112012","Adam.Hall","RC","T.B",57,20112012,31,"0.600","0.600",87,39,4,1,55,17,7,15,4,8,5,6,0.12,503.8,2200.83,18.63
