Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Alex Killorn,20142015,T.B,17,1,0,14,0,13,10,3,3,19
Ben Bishop,20142015,T.B,30,0,0,0,1,0,3,14,33,136
Valtteri Filppula,20142015,T.B,51,2,0,10,5,13,18,3,8,20
Steven Stamkos,20142015,T.B,91,2,7,34,5,17,7,2,4,20
Jonathan Huberdeau,20142015,FLA,11,1,2,12,7,20,12,0,4,16
Aleksander Barkov,20142015,FLA,16,0,2,14,1,8,11,1,3,16
Brad Boyes,20142015,FLA,24,2,2,10,3,15,6,2,3,18
Jussi Jokinen,20142015,FLA,36,0,1,7,5,14,17,2,3,11
Brian Campbell,20142015,FLA,51,1,0,2,1,12,11,2,12,39
Radko Gudas,20142015,T.B,7,0,2,0,0,1,2,0,4,8
Ryan Callahan,20142015,T.B,24,1,5,18,6,15,9,2,10,17
Dylan Olsen,20142015,FLA,4,0,1,1,0,2,4,0,5,9
Tomas Fleischmann,20142015,FLA,14,0,3,4,1,11,2,0,7,9
Derek MacKenzie,20142015,FLA,17,0,2,3,0,2,4,1,0,4
Sean Bergenheim,20142015,FLA,20,0,2,6,2,4,4,1,0,5
Erik Gudbranson,20142015,FLA,44,1,0,3,0,1,8,1,8,28
Matthew Carle,20142015,T.B,25,0,1,3,2,4,8,2,8,22
Andrej Sustr,20142015,T.B,62,0,0,0,0,5,8,4,7,25
Nikita Kucherov,20142015,T.B,86,1,4,24,2,20,14,3,10,26
Vladislav Namestnikov,20142015,T.B,90,0,2,7,0,4,3,2,3,3
Victor Hedman,20142015,T.B,77,0,3,7,2,9,17,2,9,29
John Moore,20142015,NYR,17,0,0,1,1,1,3,5,4,10
Chris Kreider,20142015,NYR,20,2,2,17,2,14,9,3,5,16
Martin St. Louis,20142015,NYR,26,2,2,17,2,17,12,2,4,18
Henrik Lundqvist,20142015,NYR,30,0,0,0,0,0,1,16,21,102
Rick Nash,20142015,NYR,61,6,13,23,2,18,7,5,4,19
Jaden Schwartz,20142015,STL,17,1,8,19,2,21,12,4,3,12
Jay Bouwmeester,20142015,STL,19,0,0,2,0,6,5,6,9,36
Kevin Shattenkirk,20142015,STL,22,0,1,7,1,17,18,1,16,31
David Backes,20142015,STL,42,1,5,20,3,15,14,3,6,26
Vladimir Tarasenko,20142015,STL,91,3,5,29,3,14,19,1,9,17
Tanner Glass,20142015,NYR,15,0,0,1,0,3,2,1,4,5
Jesper Fast,20142015,NYR,19,0,2,4,0,4,4,1,0,7
Ryan McDonagh,20142015,NYR,27,2,1,5,2,10,13,10,13,39
Dominic Moore,20142015,NYR,28,0,3,7,3,6,8,1,5,7
Alexander Steen,20142015,STL,20,0,2,22,4,25,11,5,7,21
Paul Stastny,20142015,STL,26,0,3,13,5,12,13,5,5,18
Alex Pietrangelo,20142015,STL,27,2,1,4,3,13,23,10,8,27
Ian Cole,20142015,STL,28,0,0,4,1,0,4,2,6,16
Dan Boyle,20142015,NYR,22,1,0,8,1,2,8,5,6,30
Patrik Berglund,20142015,STL,21,0,3,9,4,4,7,5,1,7
T.J. Oshie,20142015,STL,74,0,1,18,5,18,13,2,7,24
Marc Staal,20142015,NYR,18,0,0,5,0,3,12,5,14,28
Barret Jackman,20142015,STL,5,0,0,2,3,3,7,2,7,21
Joakim Lindstrom,20142015,STL,10,0,0,3,0,1,2,0,1,1
Jordan Leopold,20142015,STL,33,0,0,0,0,0,0,0,0,2
Jori Lehtera,20142015,STL,12,1,3,10,2,17,11,4,6,26
Craig Anderson,20142015,OTT,41,0,0,0,0,0,0,8,21,61
Eric Gryba,20142015,OTT,62,0,0,0,1,6,5,6,13,17
Mark Borowiecki,20142015,OTT,74,0,1,0,1,3,6,5,8,17
Mika Zibanejad,20142015,OTT,93,0,4,16,2,14,10,2,7,14
Ryan Ellis,20142015,NSH,4,0,1,8,2,9,7,6,7,15
Filip Forsberg,20142015,NSH,9,3,4,19,3,17,17,2,9,18
Craig Smith,20142015,NSH,15,0,4,19,0,9,12,4,9,19
Derek Roy,20142015,NSH,21,0,0,1,2,5,2,2,1,2
Pekka Rinne,20142015,NSH,35,0,0,0,0,0,1,12,45,123
Bobby Ryan,20142015,OTT,6,2,4,12,3,15,18,3,7,14
Kyle Turris,20142015,OTT,7,2,3,19,7,18,15,4,5,23
Clarke MacArthur,20142015,OTT,16,1,3,12,3,10,7,2,5,15
Erik Karlsson,20142015,OTT,65,0,3,18,4,21,20,6,13,46
Eric Nystrom,20142015,NSH,24,0,3,4,0,2,3,2,4,3
Paul Gaustad,20142015,NSH,28,0,2,2,3,2,5,2,5,4
Roman Josi,20142015,NSH,59,0,3,12,4,18,18,5,17,35
James Neal,20142015,NSH,18,1,4,18,0,9,5,4,12,24
Gabriel Bourque,20142015,NSH,57,1,1,1,1,6,3,0,3,0
Mike Ribeiro,20142015,NSH,63,0,4,11,11,16,20,4,5,22
Milan Michalek,20142015,OTT,9,0,1,12,3,9,9,2,6,9
Alex Chiasson,20142015,OTT,90,0,3,8,2,7,6,0,2,13
Shea Weber,20142015,NSH,6,0,3,12,0,11,19,3,16,34
Cody Ceci,20142015,OTT,5,0,1,4,5,4,7,5,12,17
Olli Jokinen,20142015,NSH,13,0,1,2,0,3,0,2,2,3
Brent Seabrook,20142015,CHI,7,0,1,7,1,9,13,5,15,31
Marcus Kruger,20142015,CHI,16,1,3,3,1,5,4,0,2,2
Ben Smith,20142015,CHI,28,0,0,5,2,2,0,1,2,6
Corey Crawford,20142015,CHI,50,0,0,0,0,0,1,8,25,113
Jamie Benn,20142015,DAL,14,2,7,25,5,27,20,1,4,28
Kari Lehtonen,20142015,DAL,32,0,0,0,1,0,2,14,31,147
Ales Hemsky,20142015,DAL,83,0,3,8,3,5,13,1,6,13
Jason Spezza,20142015,DAL,90,0,1,16,3,16,26,1,9,25
Tyler Seguin,20142015,DAL,91,0,4,33,4,29,7,3,5,16
Patrick Sharp,20142015,CHI,10,1,2,13,2,13,12,5,2,10
Jonathan Toews,20142015,CHI,19,1,4,23,4,19,15,3,9,24
Andrew Shaw,20142015,CHI,65,1,2,12,2,2,7,1,7,22
Patrick Kane,20142015,CHI,88,2,3,22,1,24,12,0,5,15
Ryan Garbutt,20142015,DAL,16,4,2,2,3,8,6,1,2,9
Cody Eakin,20142015,DAL,20,1,2,15,1,5,15,6,4,16
Alex Goligoski,20142015,DAL,33,0,1,3,3,14,15,5,12,45
Marian Hossa,20142015,CHI,81,2,6,14,4,17,18,2,4,18
Patrick Eaves,20142015,DAL,18,2,1,11,2,4,7,3,6,16
Brandon Saad,20142015,CHI,20,1,4,18,6,10,13,0,6,15
Antoine Roussel,20142015,DAL,21,1,1,11,0,6,6,4,6,4
Jordie Benn,20142015,DAL,24,0,0,2,0,7,7,6,12,21
Nick Holden,20142015,COL,2,0,0,5,1,4,4,3,9,26
Tyson Barrie,20142015,COL,4,1,0,11,0,18,23,4,11,39
Nathan MacKinnon,20142015,COL,29,0,4,10,2,13,9,0,4,11
Alex Tanguay,20142015,COL,40,0,3,19,2,17,14,2,5,10
Ryan O'Reilly,20142015,COL,90,1,2,14,8,17,13,1,4,25
Zach Parise,20142015,MIN,11,3,6,24,2,13,14,2,6,15
Jason Pominville,20142015,MIN,29,1,4,13,3,20,13,6,4,20
Darcy Kuemper,20142015,MIN,35,0,0,0,0,0,0,5,14,54
Jared Spurgeon,20142015,MIN,46,0,0,9,0,9,7,5,8,26
Mikael Granlund,20142015,MIN,64,1,3,4,6,12,13,2,6,22
Nate Guenin,20142015,COL,5,0,0,2,1,1,11,2,7,24
Jamie McGinn,20142015,COL,11,0,0,4,0,0,2,0,1,3
Brad Stuart,20142015,COL,17,1,0,2,1,3,6,2,11,14
Max Talbot,20142015,COL,25,1,1,3,3,3,4,3,3,9
Daniel Briere,20142015,COL,48,2,0,6,0,1,3,1,0,8
Marco Scandella,20142015,MIN,6,0,0,11,1,5,6,8,5,25
Nino Niederreiter,20142015,MIN,22,3,5,15,1,6,6,5,2,11
Erik Haula,20142015,MIN,56,0,2,5,2,3,2,3,0,6
Erik Johnson,20142015,COL,6,1,2,9,0,5,6,3,6,18
Ryan Suter,20142015,MIN,20,0,0,2,3,9,24,8,15,39
Jonas Brodin,20142015,MIN,25,0,0,3,1,3,10,6,13,36
Jan Hejda,20142015,COL,8,0,0,1,0,4,8,5,13,25
Gabriel Landeskog,20142015,COL,92,0,5,18,3,18,15,2,4,20
Marc-Andre Cliche,20142015,COL,24,0,0,2,1,3,1,4,1,5
Karri Ramo,20142015,CGY,31,0,0,0,0,0,0,1,16,55
Raphael Diaz,20142015,CGY,33,0,0,2,0,1,1,0,6,13
Jesse Joensuu,20142015,EDM,6,0,0,2,0,0,2,1,0,0
Matt Hendricks,20142015,EDM,23,2,2,4,1,5,2,1,3,5
