Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Frederik Andersen,20142015,ANA,31,0,0,0,0,0,0,0,4,18
Michal Neuvirth,20142015,BUF,34,0,0,0,0,0,0,0,1,5
Brian Flynn,20142015,BUF,65,0,0,0,0,1,0,0,1,2
Clarke MacArthur,20142015,OTT,16,0,0,6,0,2,2,0,1,9
David Legwand,20142015,OTT,17,0,0,6,0,4,2,0,1,8
Mark Stone,20142015,OTT,61,0,0,5,0,2,6,0,0,11
Erik Karlsson,20142015,OTT,65,0,1,5,0,14,10,0,1,10
Dylan Olsen,20142015,FLA,4,0,0,0,0,0,1,0,0,1
Marc Staal,20142015,NYR,18,0,0,0,0,0,0,1,0,0
Francois Beauchemin,20142015,ANA,23,0,0,2,0,0,1,0,1,4
Nate Thompson,20142015,ANA,44,0,0,0,0,0,0,0,0,0
Wayne Simmonds,20142015,PHI,17,0,0,14,0,5,5,0,0,18
Tomas Hertl,20142015,S.J,48,0,0,3,0,0,2,0,0,4
Matt Irwin,20142015,S.J,52,0,0,1,0,2,0,0,0,1
Tommy Wingels,20142015,S.J,57,0,0,3,0,4,1,0,0,2
Brooks Orpik,20142015,WSH,44,0,0,0,0,0,0,0,0,0
Adam Burish,20142015,S.J,37,0,0,0,0,0,0,0,0,0
Justin Braun,20142015,S.J,61,0,0,0,0,1,1,0,0,1
Justin Peters,20142015,WSH,35,0,0,0,0,0,0,1,0,5
Joe Thornton,20142015,S.J,19,0,1,3,0,7,11,0,0,18
DAL,37,0,0,0,0,0,0,0,0,0
Vernon Fiddler,20142015,DAL,38,0,1,2,0,0,0,0,0,2
Martin Havlat,20142015,N.J,9,0,0,3,0,2,1,0,0,1
Jason Garrison,20142015,T.B,5,0,0,1,0,3,5,0,0,6
Ondrej Palat,20142015,T.B,18,0,0,3,1,4,3,0,0,11
Evgeni Nabokov,20142015,T.B,20,0,0,0,0,0,1,0,0,3
Drew Shore,20142015,CGY,22,0,0,0,0,0,0,0,0,3
Eric Nystrom,20142015,NSH,24,0,0,0,0,0,0,0,0,0
Matt Hendricks,20142015,EDM,23,0,0,0,0,1,0,0,0,3
Boyd Gordon,20142015,EDM,27,0,0,1,0,0,0,0,1,2
Justin Williams,20142015,L.A,14,0,0,4,0,4,5,0,0,4
Alec Martinez,20142015,L.A,27,0,0,1,0,3,0,0,0,4
Tanner Pearson,20142015,L.A,70,0,0,1,0,0,0,0,1,3
Brad Marchand,20142015,BOS,63,0,0,2,0,0,0,0,1,3
Andrew Ference,20142015,EDM,21,0,0,0,0,0,0,0,0,1
Will Acton,20142015,EDM,41,0,0,0,0,0,0,0,0,0
Mike Smith,20142015,ARI,41,0,0,0,0,0,1,0,1,29
Patrick Marleau,20142015,S.J,12,0,0,7,0,9,8,0,0,19
Alex Stalock,20142015,S.J,32,0,0,0,0,0,0,0,1,9
Jordie Benn,20142015,DAL,24,0,0,0,0,2,0,0,1,1
Nick Spaling,20142015,PIT,13,0,0,1,0,0,0,0,0,0
Scott Clemmensen,20142015,N.J,40,0,0,0,0,0,0,0,0,1
David Desharnais,20142015,MTL,51,0,0,2,0,3,6,0,0,7
Max Pacioretty,20142015,MTL,67,0,0,7,0,2,2,0,0,7
P.K. Subban,20142015,MTL,76,0,0,8,1,8,4,0,0,11
David Krejci,20142015,BOS,46,0,0,1,1,3,3,0,0,6
Torey Krug,20142015,BOS,47,0,0,2,0,7,5,0,2,5
Seth Griffith,20142015,BOS,53,0,1,0,0,0,2,0,0,2
Alexei Emelin,20142015,MTL,74,0,0,0,0,0,0,0,0,0
Nathan MacKinnon,20142015,COL,29,0,0,3,0,2,2,0,0,5
Calvin Pickard,20142015,COL,31,0,0,0,0,0,0,0,0,6
Alex Tanguay,20142015,COL,40,0,0,2,0,7,5,0,0,3
Erik Condra,20142015,OTT,22,0,0,0,0,0,0,0,0,0
John Mitchell,20142015,COL,7,0,0,2,0,0,1,0,0,3
Brad Stuart,20142015,COL,17,0,0,0,0,0,1,0,0,0
Max Talbot,20142015,COL,25,0,0,0,0,0,0,0,0,0
Cody McLeod,20142015,COL,55,0,0,0,0,0,0,0,0,1
Pierre-Alexandre Parenteau,20142015,MTL,15,0,0,2,0,1,0,0,0,6
Alex Galchenyuk,20142015,MTL,27,0,0,3,0,2,6,0,1,8
Calvin de Haan,20142015,NYI,44,0,0,0,0,0,0,0,0,1
Aaron Ekblad,20142015,FLA,5,0,0,6,0,1,6,0,1,8
Sean Bergenheim,20142015,FLA,20,0,0,0,0,1,1,0,0,0
Brad Boyes,20142015,FLA,24,0,0,5,0,2,1,0,0,5
Nick Bjugstad,20142015,FLA,27,0,0,7,0,3,2,0,1,4
Karl Alzner,20142015,WSH,27,0,0,0,0,0,0,0,0,0
Sean Couturier,20142015,PHI,14,0,0,1,0,2,3,0,0,5
Luke Schenn,20142015,PHI,22,0,0,0,0,0,0,0,0,0
Matt Read,20142015,PHI,24,0,0,2,0,2,1,0,0,4
Michael Del Zotto,20142015,PHI,15,0,0,1,0,2,5,0,0,3
Shawn Horcoff,20142015,DAL,10,0,0,4,0,0,1,0,1,6
James Neal,20142015,NSH,18,0,0,3,0,1,0,1,0,14
Carter Hutton,20142015,NSH,30,0,0,0,0,0,0,1,1,11
Colin Wilson,20142015,NSH,33,0,0,3,0,3,1,1,1,7
Mike Ribeiro,20142015,NSH,63,0,0,1,1,4,6,0,0,9
Johnny Oduya,20142015,CHI,27,0,0,0,0,0,0,0,0,0
Michal Rozsival,20142015,CHI,32,0,0,0,0,0,0,0,0,0
Jake Allen,20142015,STL,34,0,0,0,0,0,1,0,1,25
Joe Vitale,20142015,ARI,14,0,0,0,0,0,0,0,0,0
Chris Summers,20142015,ARI,20,0,0,0,0,0,0,0,0,0
Michael Stone,20142015,ARI,26,0,0,0,0,5,0,1,0,6
Lauri Korpikoski,20142015,ARI,28,0,0,5,0,3,0,0,0,3
Craig Cunningham,20142015,ARI,22,0,0,0,0,0,0,0,0,0
Patrik Berglund,20142015,STL,21,0,0,0,0,1,0,0,0,2
Kevin Bieksa,20142015,VAN,3,0,0,0,0,0,1,0,1,1
Eddie Lack,20142015,VAN,31,0,0,0,0,0,0,0,0,14
Ryan Suter,20142015,MIN,20,0,0,1,1,4,5,0,0,12
Matt Dumba,20142015,MIN,24,0,0,0,0,0,0,0,0,0
Jonas Brodin,20142015,MIN,25,0,0,0,0,0,2,0,1,3
