Year,Name,Order,Team,Pos,Games,TOI,TOIPG
20142015,Nate Prosser,476,MIN,D,63,806,12.79
20142015,Matt Cullen,477,NSH,C,62,806,13.00
20142015,Stephen Gionta,478,NJ,C,61,804,13.18
20142015,Kyle Palmieri,479,ANH,RW,57,803,14.09
20142015,Brett Bellemore,480,CAR,D,49,802,16.37
20142015,Scottie Upshall,481,FLA,RW,63,798,12.67
20142015,Matt Bartkowski,482,BOS,D,47,796,16.94
20142015,Jay Beagle,483,WAS,C,62,794,12.81
20142015,Eric Nystrom,484,NSH,LW,60,791,13.18
20142015,Joakim Andersson,485,DET,C,68,790,11.62
20142015,Joe Vitale,486,ARI,C,70,786,11.23
20142015,Mikkel Boedker,487,ARI,LW,45,786,17.47
20142015,Marc-Andre Cliche,488,COL,RW,74,784,10.59
20142015,Rob Klinkhammer,489,EDM,LW,69,774,11.22
20142015,David Moss,490,ARI,RW,60,774,12.90
20142015,Jacob Josefson,491,NJ,C,62,770,12.42
20142015,Robert Bortuzzo,492,STL,D,51,770,15.10
20142015,Jason Zucker,493,MIN,LW,51,768,15.06
20142015,Martin Marincin,494,EDM,D,41,764,18.63
20142015,Jim Slater,495,WPG,C,82,755,9.21
20142015,Chris Phillips,496,OTT,D,36,752,20.89
20142015,Andrew Desjardins,497,CHI,LW,69,741,10.74
20142015,Kevan Miller,498,BOS,D,41,739,18.02
20142015,Taylor Beck,499,NSH,LW,62,739,11.92
20142015,J.T. Miller,500,NYR,C,58,736,12.69
20142015,Sean Bergenheim,501,MIN,LW,56,734,13.11
20142015,Tom Wilson,502,WAS,RW,67,732,10.93
20142015,Dmitrij Jaskin,503,STL,RW,54,727,13.46
20142015,Mikhail Grabovski,504,NYI,C,51,727,14.25
20142015,Chris Terry,505,CAR,LW,57,725,12.72
20142015,Tomas Jurco,506,DET,RW,63,725,11.51
20142015,Brandon Pirri,507,FLA,C,49,723,14.76
20142015,Vincent Lecavalier,508,PHI,C,57,720,12.63
20142015,Mark Letestu,509,CLS,C,54,720,13.33
20142015,Andrej Nestrasil,510,CAR,C,54,720,13.33
20142015,Evander Kane,511,BUF,LW,37,714,19.30
20142015,Jordin Tootoo,512,NJ,RW,68,711,10.46
20142015,Jean-Gabriel Pageau,513,OTT,C,50,709,14.18
20142015,Mike Richards,514,LA,C,53,708,13.36
20142015,Matt Stajan,515,CGY,C,59,707,11.98
20142015,David Booth,516,TOR,LW,59,704,11.93
20142015,Vincent Trocheck,517,FLA,C,50,700,14.00
20142015,Dylan Olsen,518,FLA,D,44,699,15.89
20142015,Daniel Briere,519,COL,C,57,690,12.11
20142015,Ryan Reaves,520,STL,RW,81,690,8.52
20142015,Jesper Fast,521,NYR,RW,58,684,11.79
20142015,Andre Burakovsky,522,WAS,LW,53,684,12.91
20142015,Craig Adams,523,PIT,RW,70,682,9.74
20142015,Michael Ryder,524,NJ,RW,47,680,14.47
20142015,Ben Chiarot,525,WPG,D,40,680,17.00
20142015,Ryan Murphy,526,CAR,D,37,676,18.27
20142015,Tanner Glass,527,NYR,LW,66,676,10.24
20142015,David Schlemko,528,CGY,D,44,674,15.32
20142015,Matt Fraser,529,EDM,RW,60,673,11.22
20142015,Raphael Diaz,530,CGY,D,56,673,12.02
20142015,Brett Connolly,531,BOS,RW,55,668,12.15
20142015,Barclay Goodrow,532,SJ,RW,60,664,11.07
20142015,Mirco Mueller,533,SJ,D,39,661,16.95
20142015,Brad Malone,534,CAR,C,65,659,10.14
20142015,Martin Hanzal,535,ARI,C,37,656,17.73
20142015,Peter Harrold,536,NJ,D,43,655,15.23
20142015,Chris Thorburn,537,WPG,RW,81,655,8.09
20142015,Brenden Morrow,538,TB,LW,70,652,9.31
20142015,Brad Richardson,539,VAN,C,45,651,14.47
20142015,Dennis Everberg,540,COL,RW,55,649,11.80
20142015,Patrick Eaves,541,DAL,RW,47,644,13.70
20142015,Rene Bourque,542,CLS,RW,51,644,12.63
20142015,David Pastrnak,543,BOS,RW,46,642,13.96
20142015,Jordan Leopold,544,MIN,D,43,641,14.91
20142015,Markus Granlund,545,CGY,C,48,641,13.35
20142015,Tim Erixon,546,TOR,D,42,639,15.21
20142015,Manny Malhotra,547,MON,C,58,629,10.84
20142015,David Rundblad,548,CHI,D,49,627,12.80
20142015,Beau Bennett,549,PIT,RW,49,611,12.47
20142015,Christian Folin,550,MIN,D,40,608,15.20
20142015,Brandon McMillan,551,VAN,LW,58,607,10.47
20142015,Anton Volchenkov,552,NSH,D,46,606,13.17
20142015,Michal Jordan,553,CAR,D,38,605,15.92
20142015,Jordan Nolan,554,LA,C,60,597,9.95
20142015,Trevor Smith,555,TOR,C,54,597,11.06
20142015,Derrick Pouliot,556,PIT,D,34,596,17.53
20142015,Paul Postma,557,WPG,D,42,593,14.12
20142015,Martin Havlat,558,NJ,LW,40,592,14.80
20142015,Stephen Weiss,559,DET,C,52,589,11.33
20142015,Korbinian Holzer,560,ANH,D,34,581,17.09
20142015,Andrew Campbell,561,ARI,D,33,578,17.52
20142015,Joakim Lindstrom,562,TOR,C,53,576,10.87
20142015,Anton Lander,563,EDM,C,38,570,15.00
20142015,Chris Butler,564,STL,D,33,567,17.18
20142015,Boone Jenner,565,CLS,C,31,566,18.26
20142015,Johan Larsson,566,BUF,LW,39,566,14.51
20142015,Jack Skille,567,CLS,RW,45,563,12.51
20142015,Cody Goloubef,568,CLS,D,36,560,15.56
20142015,Tanner Pearson,569,LA,LW,42,558,13.29
20142015,Jakub Kindl,570,DET,D,35,556,15.89
20142015,Mark Fraser,571,NJ,D,34,553,16.26
20142015,J.T. Brown,572,TB,RW,52,551,10.60
20142015,Emerson Etem,573,ANH,RW,45,550,12.22
20142015,Carlo Colaiacovo,574,PHI,D,33,544,16.48
20142015,Nate Schmidt,575,WAS,D,39,541,13.87
20142015,Alex Petrovic,576,FLA,D,33,536,16.24
20142015,Craig Cunningham,577,ARI,LW,51,534,10.47
20142015,Ryan Carter,578,MIN,C,53,534,10.08
20142015,Brandon Bollig,579,CGY,LW,62,533,8.60
20142015,Corey Tropp,580,CLS,RW,61,533,8.74
20142015,Johan Franzen,581,DET,RW,33,530,16.06
20142015,Zack Kassian,582,VAN,RW,42,529,12.60
20142015,Zach Sill,583,TOR,C,63,528,8.38
20142015,Radko Gudas,584,PHI,D,31,527,17.00
20142015,Chris Tierney,585,SJ,C,43,526,12.23
20142015,Jared Boll,586,CLS,RW,72,523,7.26
20142015,Zac Rinaldo,587,PHI,LW,58,517,8.91
20142015,Josh Manson,588,ANH,D,28,516,18.43
20142015,Tye McGinn,589,ARI,LW,51,515,10.10
20142015,Vladislav Namestnikov,590,TB,C,43,515,11.98
20142015,Victor Bartley,591,NSH,D,37,497,13.43
20142015,Jack Hillen,592,CAR,D,38,488,12.84
20142015,Jamie Oleksiak,593,DAL,D,36,482,13.39
20142015,Matt Tennyson,594,SJ,D,27,474,17.56
20142015,B.J. Crombeen,595,ARI,RW,58,469,8.09
20142015,Leon Draisaitl,596,EDM,C,37,469,12.68
20142015,Marko Dano,597,CLS,C,35,464,13.26
20142015,Tim Jackman,598,ANH,RW,55,460,8.36
20142015,Matt Halischuk,599,WPG,RW,47,458,9.74
20142015,Jacob De La Rose,600,MON,LW,33,455,13.79
20142015,Zack Smith,601,OTT,C,37,445,12.03
20142015,Michael Latta,602,WAS,C,53,444,8.38
20142015,Keith Aulie,603,EDM,D,31,443,14.29
20142015,Zach Trotman,604,BOS,D,27,443,16.41
20142015,Shawn Thornton,605,FLA,LW,46,440,9.57
20142015,Mike Weaver,606,MON,D,31,439,14.16
20142015,Michael Grabner,607,NYI,RW,34,439,12.91
20142015,Jeremy Morin,608,CLS,LW,43,438,10.19
20142015,Teuvo Teravainen,609,CHI,LW,34,434,12.76
20142015,Brett Ritchie,610,DAL,RW,31,433,13.97
20142015,Nikita Nesterov,611,TB,D,27,433,16.04
20142015,Ladislav Smid,612,CGY,D,31,432,13.94
20142015,Steven Kampfer,613,FLA,D,25,429,17.16
20142015,Tyler Kennedy,614,NYI,LW,38,424,11.16
20142015,Ryan Spooner,615,BOS,C,29,421,14.52
20142015,Joakim Nordstrom,616,CHI,LW,38,416,10.95
20142015,Curtis McKenzie,617,DAL,LW,36,415,11.53
20142015,Olli Maatta,618,PIT,D,20,414,20.70
20142015,Brandon Gormley,619,ARI,D,27,413,15.30
20142015,Travis Moen,620,DAL,LW,44,412,9.36
20142015,Klas Dahlbeck,621,ARI,D,23,406,17.65
20142015,Seth Griffith,622,BOS,C,30,403,13.43
20142015,Ryan White,623,PHI,RW,34,398,11.71
20142015,T.J. Galiardi,624,WPG,LW,38,397,10.45
20142015,Scott Laughton,625,PHI,C,31,394,12.71
20142015,Grant Clitsome,626,WPG,D,24,392,16.33
20142015,Cody McCormick,627,BUF,C,33,386,11.70
20142015,Mikhail Grigorenko,628,BUF,C,25,379,15.16
20142015,Philip Varone,629,BUF,C,28,376,13.43
20142015,Nick Shore,630,LA,C,34,376,11.06
20142015,Patrick Kaleta,631,BUF,RW,42,372,8.86
20142015,Chris Neil,632,OTT,RW,38,369,9.71
20142015,Ronalds Kenins,633,VAN,LW,30,368,12.27
20142015,Matt Cooke,634,MIN,LW,29,365,12.59
20142015,Petteri Lindbohm,635,STL,D,23,358,15.57
20142015,Patrik Nemeth,636,DAL,D,22,356,16.18
20142015,Teemu Pulkkinen,637,DET,LW,31,355,11.45
20142015,Adam Clendening,638,VAN,D,21,349,16.62
20142015,Brian Gibbons,639,CLS,C,25,345,13.80
20142015,Xavier Ouellet,640,DET,D,21,344,16.38
20142015,Michael Chaput,641,CLS,C,33,336,10.18
20142015,Lucas Lessio,642,ARI,LW,26,331,12.73
20142015,Jamie McBain,643,LA,D,26,329,12.65
20142015,Zach Boychuk,644,CAR,LW,31,329,10.61
20142015,Matt Ellis,645,BUF,LW,39,324,8.31
20142015,Daniel Carcillo,646,CHI,LW,39,319,8.18
20142015,Viktor Stalberg,647,NSH,LW,25,297,11.88
20142015,Seth Helgeson,648,NJ,D,22,296,13.45
20142015,Luke Gazdic,649,EDM,LW,40,295,7.38
20142015,Anthony Peluso,650,WPG,RW,49,287,5.86
20142015,Chris Summers,651,NYR,D,20,284,14.20
20142015,John Scott,652,SJ,LW,38,283,7.45
20142015,Jamie McGinn,653,COL,LW,19,280,14.74
20142015,Bryce Salvador,654,NJ,D,15,277,18.47
20142015,Micheal Ferland,655,CGY,LW,26,273,10.50
20142015,Jordan Schroeder,656,MIN,C,25,271,10.84
20142015,Pascal Dupuis,657,PIT,LW,16,266,16.63
20142015,Simon Gagne,658,BOS,LW,23,260,11.30
20142015,Damien Brunner,659,NJ,RW,17,257,15.12
20142015,William Karlsson,660,CLS,C,21,256,12.19
20142015,Colin Greening,661,OTT,LW,26,255,9.81
20142015,Joe Morrow,662,BOS,D,15,250,16.67
20142015,Trevor van Riemsdyk,663,CHI,D,18,243,13.50
20142015,Luke Witkowski,664,TB,D,16,242,15.13
20142015,Jordan Caron,665,COL,RW,30,241,8.03
20142015,Chris Porter,666,STL,LW,24,229,9.54
20142015,Michael Bournival,667,MON,LW,29,228,7.86
20142015,Ryan Murray,668,CLS,D,12,226,18.83
20142015,Adam Burish,669,SJ,RW,20,222,11.10
20142015,Anthony Duclair,670,ARI,LW,18,218,12.11
20142015,Andrew Ebbett,671,PIT,C,24,216,9.00
20142015,Greg Pateryn,672,MON,D,17,215,12.65
20142015,Brad Hunt,673,EDM,D,11,214,19.45
20142015,Jesse Joensuu,674,EDM,LW,20,212,10.60
