,index_x,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,index_y,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
95,13,2008-09,PHI,31.0,29.0,26.0,-1.0,7.0,4.0,0.0,0.0,8.0,6.0,0.0,20.4,97.0,20.4,97.0,15.39,13.0,6.0,8.0,16.0,brierda01,2.0,31.0,306.0,374.0,45.0,-5.4,227.0,273.0,45.4,-6.4,11.2,90.2,101.0,52.2,47.8,1
96,14,2009-10,PHI,32.0,75.0,71.0,-2.0,18.0,8.0,0.0,1.0,18.0,9.0,0.0,13.5,318.0,13.5,318.0,16.35,53.0,17.0,31.0,21.0,brierda01,3.0,32.0,1160.0,990.0,54.0,1.4,879.0,756.0,53.8,0.0,7.8,91.4,99.3,56.7,43.3,1
97,15,2010-11,PHI,33.0,77.0,87.0,20.0,28.0,6.0,0.0,6.0,25.0,9.0,0.0,13.8,386.0,13.8,386.0,18.19,36.0,17.0,33.0,16.0,brierda01,4.0,33.0,1173.0,1176.0,49.9,-1.7,890.0,875.0,50.4,-1.7,10.4,92.4,102.0,54.2,45.8,1
98,16,2011-12,PHI,34.0,70.0,69.0,5.0,12.0,4.0,0.0,3.0,20.0,13.0,0.0,9.2,310.0,9.2,310.0,17.22,48.0,16.0,18.0,32.0,brierda01,5.0,34.0,997.0,988.0,50.2,-2.8,720.0,699.0,50.7,-2.1,9.1,92.0,101.0,57.3,42.7,1
99,17,2012-13,PHI,35.0,34.0,10.0,-13.0,3.0,3.0,0.0,1.0,7.0,3.0,0.0,6.9,143.0,6.9,143.0,16.04,15.0,6.0,7.0,13.0,brierda01,6.0,35.0,409.0,451.0,47.6,-0.6,294.0,338.0,46.5,-3.0,7.1,88.8,95.9,51.3,48.7,1
100,18,2013-14,MTL,36.0,69.0,30.0,1.0,9.0,4.0,0.0,1.0,10.0,2.0,0.0,11.0,188.0,11.0,188.0,12.46,23.0,11.0,22.0,17.0,brierda01,7.0,36.0,688.0,768.0,47.3,-0.3,515.0,566.0,47.6,-1.0,8.5,92.9,101.0,44.7,55.3,1
101,19,2014-15,COL,37.0,57.0,18.0,-7.0,8.0,0.0,0.0,3.0,4.0,0.0,0.0,11.6,113.0,11.6,113.0,12.07,19.0,9.0,23.0,9.0,brierda01,8.0,37.0,454.0,632.0,41.8,-2.7,352.0,468.0,42.9,-2.0,5.9,93.1,98.9,50.7,49.3,1
111,10,2007-08,BOS,30.0,77.0,114.0,14.0,7.0,9.0,1.0,0.0,17.0,16.0,1.0,8.2,389.0,8.2,389.0,26.50,222.0,78.0,30.0,50.0,charazd01,1.0,30.0,1329.0,1139.0,53.8,2.9,1006.0,917.0,52.3,2.4,9.5,92.0,101.0,48.9,51.1,1
112,11,2008-09,BOS,31.0,80.0,95.0,23.0,8.0,11.0,0.0,3.0,12.0,17.0,2.0,8.8,427.0,8.8,427.0,26.04,166.0,121.0,28.0,54.0,charazd01,2.0,31.0,1391.0,1290.0,51.9,2.0,1056.0,1003.0,51.3,2.1,10.1,92.8,102.0,46.9,53.1,1
113,12,2009-10,BOS,32.0,80.0,87.0,19.0,3.0,4.0,0.0,1.0,24.0,12.0,1.0,2.9,440.0,2.9,440.0,25.22,149.0,102.0,27.0,65.0,charazd01,3.0,32.0,1545.0,1251.0,55.3,2.9,1158.0,945.0,55.1,2.7,7.7,93.4,101.0,49.9,50.1,1
