"","name","season","TOT","X.x","age.x","games_played","pen_min","plus_minus","goals_ev","goals_pp","goals_sh","goals_gw","assists_ev","assists_pp","assists_sh","shot_pct","shots_attempted","shot_pct.1","shots_attempted.1","time_on_ice_avg","hits","blocks","takeaways","giveaways","X.y","age.y","corsi_for","corsi_against","corsi_pct","corsi_rel_pct","fenwick_for","fenwick_against","fenwick_pct","fenwick_rel_pct","on_ice_shot_pct","on_ice_sv_pct","pdo","zs_offense_pct","zs_defense_pct"
"42","brierda01","1997-98","PHI",1,30,5,2,"1",1,0,0,0,0,0,0,"25.0",NA,"25.0",NA,"</td>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","brierda01","1998-99","PHI",2,31,64,30,"-3",6,2,0,2,12,2,0,"8.9",NA,"8.9",NA,"11:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","brierda01","1999-00","PHI",3,32,13,0,"0",1,0,0,0,1,0,0,"11.1",NA,"11.1",NA,"7:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","brierda01","2000-01","PHI",4,33,30,12,"-2",2,9,0,1,1,3,0,"25.6",NA,"25.6",NA,"10:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","brierda01","2001-02","PHI",5,34,78,52,"6",20,12,0,5,18,10,0,"<str",NA,"<str",NA,"15:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","brierda01","2002-03","COL",8,37,14,12,"1",2,5,0,1,4,1,0,"17.9",NA,"17.9",NA,"17:49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","brierda01","2002-03","MTL",7,36,68,50,"-21",13,4,0,3,14,15,0,"12.0",NA,"12.0",NA,"17:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","brierda01","2002-03","PHI",6,35,82,62,"-20",15,9,0,4,18,16,0,"13.3",NA,"13.3",NA,"17:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","charazd01","1997-98","BOS",1,30,25,50,"1",0,0,0,0,1,0,0,"0.0",NA,"0.0",NA,"</td>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","charazd01","1998-99","BOS",2,31,59,83,"-8",1,0,1,0,6,0,0,"3.6",NA,"3.6",NA,"18:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","charazd01","1999-00","BOS",3,32,65,57,"-27",2,0,0,1,8,0,1,"4.3",NA,"4.3",NA,"22:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","charazd01","2000-01","BOS",4,33,82,157,"-27",1,0,1,0,5,0,2,"2.4",NA,"2.4",NA,"22:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","charazd01","2001-02","BOS",5,34,75,156,"30",5,4,1,2,10,1,2,"9.5",NA,"9.5",NA,"22:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","charazd01","2002-03","BOS",6,35,74,116,"29",6,3,0,2,14,14,2,"5.4",NA,"5.4",NA,"24:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","charazd01","2003-04","BOS",7,36,79,147,"33",9,7,0,3,15,7,3,"8.6",NA,"8.6",NA,"24:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","charazd01","2005-06","BOS",8,37,71,135,"17",5,10,1,3,13,12,2,"7.5",NA,"7.5",NA,"27:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","charazd01","2006-07","BOS",9,38,80,100,"-21",2,9,0,3,14,17,1,"5.4",NA,"5.4",NA,"27:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","charazd01","2007-08","BOS",10,39,77,114,"14",7,9,1,0,17,16,1,"8.2",389,"8.2",389,"26:50",222,78,30,50,1,30,1329,1139,53.8,"2.9",1006,917,52.3,"2.4",9.5,92,101,"48.9","51.1"
"60","clarkbr01","1997-98","COL",1,31,41,20,"-3",1,0,0,0,0,0,0,"3.8",NA,"3.8",NA,"</td>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","clarkbr01","1998-99","COL",2,32,61,16,"-3",2,0,0,0,2,0,0,"5.6",NA,"5.6",NA,"13:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","clarkbr01","1999-00","COL",3,33,14,4,"-12",0,0,0,0,1,0,0,"0.0",NA,"0.0",NA,"16:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","clarkbr01","2000-01","TBL",4,34,28,14,"-12",1,0,0,0,2,0,0,"2.9",NA,"2.9",NA,"18:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
