,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
57,SJS,24.0,24.0,4.0,2.0,0.0,10.0,277.0,322.0,53.8,1.8,205.0,237.0,53.6,0.9,24.0,13.0,1.0,0.0,1.0,0.0,11.0,donskjo01,6.6,92.9,99.5,8.0,1.0,2016-17,4.8,4.8,80.0,80.0,13.0,14.57,1,41.9,58.1
68,NYR,24.0,24.0,20.0,0.0,0.0,55.0,932.0,867.0,48.2,1.2,671.0,642.0,48.9,1.4,79.0,18.0,10.0,3.0,0.0,0.0,109.0,fastje01,10.0,92.0,102.0,18.0,9.0,2015-16,13.3,13.3,141.0,141.0,35.0,14.56,1,55.2,44.8
75,CAR,24.0,24.0,1.0,3.0,0.0,22.0,310.0,366.0,54.1,0.3,238.0,270.0,53.1,1.7,19.0,18.0,2.0,0.0,1.0,0.0,34.0,faulkju01,7.0,87.9,94.8,8.0,-7.0,2016-17,6.0,6.0,114.0,114.0,11.0,23.39,1,46.2,53.8
78,CGY,24.0,24.0,5.0,1.0,0.0,9.0,231.0,252.0,52.2,3.1,181.0,180.0,49.9,1.1,26.0,12.0,2.0,0.0,2.0,0.0,60.0,ferlami01,6.1,92.2,98.2,5.0,-2.0,2016-17,12.1,12.1,55.0,55.0,14.0,11.0,1,61.3,38.7
81,LAK,24.0,24.0,5.0,0.0,0.0,55.0,328.0,293.0,47.2,-9.3,229.0,215.0,48.4,-7.6,23.0,14.0,1.0,0.0,0.0,0.0,49.0,forbode01,9.2,92.1,101.0,34.0,1.0,2016-17,4.3,4.3,55.0,55.0,2.0,17.27,1,46.7,53.3
87,ANA,24.0,24.0,9.0,14.0,0.0,112.0,1170.0,1126.0,49.0,-4.6,862.0,849.0,49.6,-4.5,69.0,32.0,2.0,0.0,3.0,0.0,43.0,fowleca01,8.1,90.4,98.5,27.0,-8.0,2015-16,4.4,4.4,251.0,251.0,17.0,22.47,1,53.6,46.4
91,WSH,24.0,24.0,3.0,0.0,0.0,4.0,171.0,181.0,51.4,0.1,131.0,127.0,49.2,-2.4,24.0,8.0,0.0,0.0,0.0,0.0,14.0,galiest01,6.8,95.6,102.0,4.0,2.0,2015-16,0.0,0.0,56.0,56.0,6.0,9.07,1,50.5,49.5
96,MTL,24.0,24.0,8.0,0.0,0.0,7.0,306.0,329.0,51.8,3.2,218.0,237.0,52.1,3.8,23.0,6.0,4.0,1.0,1.0,0.0,26.0,gallabr01,8.2,95.3,103.0,20.0,6.0,2016-17,7.9,7.9,110.0,110.0,10.0,15.25,1,40.6,59.4
107,MIN,24.0,24.0,5.0,4.0,0.0,12.0,324.0,301.0,48.2,-2.0,241.0,214.0,47.0,-3.2,22.0,8.0,3.0,2.0,1.0,1.0,14.0,granlmi01,8.7,94.9,103.0,2.0,5.0,2016-17,13.2,13.2,77.0,77.0,9.0,19.26,1,58.2,41.8
109,LAK,24.0,24.0,1.0,0.0,0.0,21.0,155.0,145.0,48.3,-3.5,108.0,101.0,48.3,-5.1,13.0,6.0,0.0,0.0,0.0,0.0,21.0,graveke01,7.6,97.3,104.0,4.0,3.0,2016-17,0.0,0.0,27.0,27.0,0.0,14.39,1,31.3,68.8
112,TBL,24.0,24.0,3.0,0.0,0.0,63.0,484.0,512.0,51.4,-3.8,352.0,395.0,52.9,-2.7,31.0,12.0,2.0,1.0,0.0,0.0,115.0,gudasra01,6.0,91.8,97.9,34.0,-5.0,2014-15,3.2,3.2,132.0,132.0,9.0,17.0,1,45.0,55.0
119,FLA,24.0,24.0,7.0,0.0,0.0,73.0,967.0,826.0,46.1,-4.4,775.0,645.0,45.4,-5.8,64.0,28.0,2.0,0.0,0.0,0.0,150.0,gudbrer01,8.3,93.2,101.0,49.0,3.0,2015-16,2.7,2.7,156.0,156.0,11.0,20.07,1,59.0,41.0
