,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
325,EDM,27.0,27.0,12.0,3.0,1.0,61.0,948.0,802.0,45.8,-3.3,695.0,613.0,46.9,-3.7,79.0,47.0,12.0,2.0,3.0,2.0,119.0,,,jonesry01,8.1,91.4,99.5,42.0,-7.0,2011-12,12.4,12.4,228.0,228.0,46.0,15.26,1,56.0,44.0
348,SJS,27.0,27.0,12.0,1.0,0.0,11.0,764.0,834.0,52.2,-1.8,531.0,601.0,53.1,-2.1,67.0,14.0,4.0,1.0,0.0,0.0,54.0,,,kennety01,6.2,90.4,96.6,34.0,-10.0,2013-14,2.8,2.8,270.0,270.0,36.0,12.43,1,50.7,49.3
361,PHX,27.0,27.0,12.0,1.0,3.0,38.0,865.0,735.0,45.9,-7.3,647.0,540.0,45.5,-7.1,64.0,13.0,8.0,0.0,1.0,0.0,136.0,,,korpila01,6.1,92.6,98.7,24.0,-7.0,2013-14,8.3,8.3,208.0,208.0,19.0,16.05,1,50.8,49.2
385,WPG,27.0,27.0,25.0,3.0,0.0,26.0,751.0,802.0,51.6,0.4,561.0,596.0,51.5,0.3,48.0,16.0,15.0,4.0,3.0,0.0,98.0,,,laddan01,11.7,90.4,102.0,22.0,10.0,2012-13,14.9,14.9,227.0,227.0,25.0,19.41,1,50.0,50.0
400,CHI,27.0,27.0,2.0,0.0,0.0,9.0,239.0,245.0,50.6,-1.5,186.0,175.0,48.5,-4.8,26.0,8.0,1.0,0.0,0.0,0.0,24.0,,,lepissa01,8.5,93.6,102.0,4.0,3.0,2011-12,5.3,5.3,39.0,39.0,8.0,10.34,1,37.7,62.3
415,MIN,27.0,27.0,2.0,0.0,0.0,35.0,323.0,226.0,41.2,-6.7,216.0,179.0,45.3,-1.5,17.0,4.0,0.0,0.0,0.0,0.0,3.0,,,lundimi01,7.6,92.6,100.0,4.0,-1.0,2011-12,0.0,0.0,26.0,26.0,0.0,20.12,1,63.6,36.4
424,PIT,27.0,27.0,26.0,23.0,0.0,18.0,803.0,932.0,53.7,6.1,618.0,690.0,52.8,3.4,60.0,58.0,16.0,3.0,7.0,0.0,27.0,,,malkiev01,10.9,90.6,101.0,62.0,10.0,2013-14,12.0,12.0,340.0,340.0,37.0,20.04,1,39.4,60.6
440,PHI,27.0,27.0,1.0,1.0,0.0,24.0,187.0,120.0,39.1,-16.0,130.0,78.0,37.5,-19.0,11.0,6.0,0.0,0.0,0.0,0.0,18.0,,,meszaan01,3.1,89.5,92.6,2.0,-9.0,2012-13,0.0,0.0,42.0,42.0,2.0,18.28,1,57.1,42.9
448,SJS,27.0,27.0,10.0,0.0,0.0,33.0,824.0,816.0,49.8,-4.3,583.0,610.0,51.1,-3.9,76.0,27.0,9.0,0.0,0.0,0.0,94.0,,,mitchto01,7.0,91.5,98.5,29.0,-6.0,2011-12,9.0,9.0,175.0,175.0,33.0,12.26,1,52.8,47.2
458,DAL,27.0,27.0,0.0,0.0,0.0,2.0,17.0,18.0,51.4,4.3,10.0,10.0,50.0,1.7,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,morintr01,0.0,100.0,100.0,0.0,0.0,2010-11,0.0,0.0,3.0,3.0,0.0,8.52,1,63.2,36.8
