,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,name
4,2010-11,NSH,32.0,614.0,566.0,52.0,1.3,462.0,455.0,50.4,0.2,6.7,93.7,100.0,63.6,36.4,dumonjp01
1,2010-11,ANA,33.0,95.0,99.0,49.0,-2.1,76.0,83.0,47.8,-2.2,1.9,93.3,95.3,56.5,43.5,greenjo01
2,2011-12,EDM,34.0,74.0,66.0,52.9,-3.6,52.0,58.0,47.3,-14.0,2.9,84.8,87.7,52.4,47.6,greenjo01
1,2007-08,STL,31.0,282.0,449.0,38.6,-10.0,213.0,332.0,39.1,-10.0,7.3,93.0,100.0,45.0,55.0,hinotda01
2,2008-09,STL,32.0,264.0,400.0,39.8,-11.0,200.0,286.0,41.2,-12.0,9.0,88.5,97.6,43.7,56.3,hinotda01
1,2007-08,TOR,29.0,1469.0,1351.0,52.1,0.1,1127.0,1015.0,52.6,0.7,7.9,90.6,98.6,53.2,46.8,kaberto01
2,2008-09,TOR,30.0,1004.0,895.0,52.9,1.9,763.0,670.0,53.2,2.1,9.0,88.7,97.8,57.7,42.3,kaberto01
3,2009-10,TOR,31.0,1560.0,1286.0,54.8,2.1,1158.0,946.0,55.0,2.5,7.2,89.5,96.7,59.0,41.0,kaberto01
4,2010-11,TOT,32.0,1412.0,1451.0,49.3,-1.7,989.0,1068.0,48.1,-2.4,8.6,93.0,101.0,52.1,47.9,kaberto01
5,2010-11,TOR,32.0,1042.0,1020.0,50.5,0.8,742.0,746.0,49.9,0.7,7.8,92.3,100.0,55.3,44.7,kaberto01
6,2010-11,BOS,32.0,370.0,431.0,46.2,-8.4,247.0,322.0,43.4,-10.0,10.8,94.5,105.0,43.7,56.3,kaberto01
7,2011-12,TOT,33.0,942.0,997.0,48.6,-0.7,680.0,753.0,47.5,-1.1,7.8,90.5,98.3,53.7,46.3,kaberto01
8,2011-12,CAR,33.0,401.0,426.0,48.5,-2.3,288.0,326.0,46.9,-4.5,6.2,90.5,96.7,54.6,45.4,kaberto01
9,2011-12,MTL,33.0,541.0,571.0,48.7,0.6,392.0,427.0,47.9,1.6,8.9,90.5,99.5,52.8,47.2,kaberto01
10,2012-13,MTL,34.0,118.0,92.0,56.2,8.5,89.0,69.0,56.3,10.0,12.9,93.9,106.0,63.8,36.2,kaberto01
1,2008-09,PHI,30.0,7.0,10.0,41.2,</td,2.0,4.0,33.3,</td,0.0,100.0,100.0,</td,</td,kanebo01
2,2009-10,WSH,31.0,12.0,22.0,35.3,-11.,9.0,17.0,34.6,-9.8,0.0,91.7,91.7,50.0,50.0,kanebo01
1,2007-08,TOR,30.0,1148.0,1162.0,49.7,-3.6,887.0,857.0,50.9,-2.5,9.3,90.8,100.0,52.7,47.3,kubinpa01
2,2008-09,TOR,31.0,1331.0,1266.0,51.3,-0.2,992.0,943.0,51.3,0.0,8.6,89.1,97.8,55.5,44.5,kubinpa01
3,2009-10,ATL,32.0,1153.0,1198.0,49.0,-1.4,873.0,940.0,48.2,-1.5,10.1,90.2,100.0,43.6,56.4,kubinpa01
4,2010-11,TBL,33.0,1250.0,1099.0,53.2,1.7,937.0,808.0,53.7,0.7,7.4,92.1,99.6,49.8,50.2,kubinpa01
5,2011-12,TOT,34.0,1008.0,1087.0,48.1,-5.2,739.0,783.0,48.6,-5.6,10.0,90.2,100.0,46.2,53.8,kubinpa01
6,2011-12,TBL,34.0,732.0,854.0,46.2,-5.2,544.0,612.0,47.1,-5.7,11.5,90.0,101.0,41.8,58.2,kubinpa01
7,2011-12,PHI,34.0,276.0,233.0,54.2,-3.9,195.0,171.0,53.3,-4.4,5.6,91.1,96.7,62.5,37.5,kubinpa01
1,2007-08,ATL,30.0,228.0,252.0,47.5,3.4,184.0,204.0,47.4,2.7,5.8,91.9,97.7,42.4,57.6,kwiatjo01
1,2008-09,CAR,31.0,39.0,56.0,41.1,-5.1,28.0,39.0,41.8,-5.3,10.0,90.9,100.0,56.7,43.3,lacouda01
1,2007-08,CAR,30.0,483.0,562.0,46.2,-10.0,368.0,401.0,47.9,-8.9,6.1,90.0,96.1,50.7,49.3,letowtr01
1,2007-08,BUF,30.0,1174.0,1270.0,48.0,-3.8,915.0,939.0,49.4,-3.5,8.8,91.0,99.8,48.0,52.0,lydmato01
2,2008-09,BUF,31.0,1175.0,1321.0,47.1,-4.7,913.0,973.0,48.4,-2.8,8.2,91.3,99.5,46.4,53.6,lydmato01
3,2009-10,BUF,32.0,974.0,985.0,49.7,0.3,754.0,744.0,50.3,1.1,7.3,93.6,101.0,50.5,49.5,lydmato01
4,2010-11,ANA,33.0,1177.0,1323.0,47.1,4.4,911.0,991.0,47.9,4.4,12.1,92.9,105.0,42.8,57.2,lydmato01
5,2011-12,ANA,34.0,936.0,1126.0,45.4,-6.1,701.0,815.0,46.2,-4.8,9.5,91.6,101.0,44.3,55.7,lydmato01
6,2012-13,ANA,35.0,481.0,517.0,48.2,1.2,364.0,351.0,50.9,2.6,6.9,91.1,98.0,47.1,52.9,lydmato01
1,2007-08,TBL,30.0,396.0,492.0,44.6,-8.9,310.0,363.0,46.1,-8.0,6.2,90.8,97.0,34.1,65.9,macdocr01
2,2008-09,CBJ,31.0,43.0,61.0,41.3,-15.0,33.0,47.0,41.3,-14.0,8.0,96.9,104.0,50.0,50.0,macdocr01
1,2007-08,VAN,30.0,995.0,1184.0,45.7,-4.2,779.0,920.0,45.9,-3.8,8.6,92.7,101.0,37.3,62.7,mitchwi01
2,2008-09,VAN,31.0,1334.0,1316.0,50.3,2.4,988.0,1003.0,49.6,1.4,10.5,93.5,104.0,43.2,56.8,mitchwi01
3,2009-10,VAN,32.0,779.0,799.0,49.4,-3.3,606.0,617.0,49.6,-2.3,9.7,92.9,102.0,43.0,57.0,mitchwi01
4,2010-11,LAK,33.0,961.0,919.0,51.1,-3.4,684.0,707.0,49.2,-4.6,9.3,91.5,100.0,45.4,54.6,mitchwi01
5,2011-12,LAK,34.0,1357.0,1194.0,53.2,-1.7,978.0,897.0,52.2,-2.1,7.2,94.4,101.0,50.9,49.1,mitchwi01
6,2013-14,LAK,36.0,1307.0,1054.0,55.4,-4.3,974.0,777.0,55.6,-2.1,7.1,93.4,100.0,51.3,48.7,mitchwi01
7,2014-15,FLA,37.0,1069.0,1107.0,49.1,-4.3,799.0,836.0,48.9,-4.4,8.1,91.9,100.0,39.0,61.0,mitchwi01
8,2015-16,FLA,38.0,541.0,732.0,42.5,-8.4,435.0,568.0,43.4,-7.5,8.7,92.6,101.0,35.9,64.1,mitchwi01
1,2007-08,PHX,29.0,1136.0,1273.0,47.2,-4.4,896.0,988.0,47.6,-4.4,8.3,93.3,101.0,40.7,59.3,morride01
2,2008-09,TOT,30.0,1109.0,1262.0,46.8,-1.5,829.0,971.0,46.1,-3.3,7.1,92.7,99.8,58.6,41.4,morride01
3,2008-09,PHX,30.0,838.0,1019.0,45.1,-1.4,626.0,792.0,44.1,-3.2,7.1,92.4,99.5,58.5,41.5,morride01
4,2008-09,NYR,30.0,271.0,243.0,52.7,-1.5,203.0,179.0,53.1,-2.3,6.9,94.1,101.0,58.8,41.2,morride01
5,2009-10,TOT,31.0,1193.0,1038.0,53.5,1.3,914.0,785.0,53.8,1.6,7.7,92.0,99.7,53.0,47.0,morride01
6,2009-10,BOS,31.0,917.0,801.0,53.4,0.6,698.0,598.0,53.9,1.4,7.0,92.2,99.2,51.6,48.4,morride01
7,2009-10,PHX,31.0,276.0,237.0,53.8,3.8,216.0,187.0,53.6,2.1,9.9,91.3,101.0,57.8,42.2,morride01
8,2010-11,PHX,32.0,1255.0,1406.0,47.2,-6.0,957.0,1093.0,46.7,-6.1,7.3,93.7,101.0,49.3,50.7,morride01
9,2011-12,PHX,33.0,835.0,924.0,47.5,-4.1,643.0,742.0,46.4,-4.0,6.9,91.7,98.7,54.2,45.8,morride01
10,2012-13,PHX,34.0,716.0,646.0,52.6,1.1,555.0,507.0,52.3,0.4,5.5,92.3,97.8,58.4,41.6,morride01
11,2013-14,PHX,35.0,1028.0,1010.0,50.4,-1.9,754.0,773.0,49.4,-2.6,7.5,92.1,99.7,49.8,50.2,morride01
1,2007-08,CGY,29.0,279.0,266.0,51.2,-5.0,213.0,210.0,50.4,-3.3,6.0,94.7,100.0,58.5,41.5,nilsoma01
1,2007-08,ANA,30.0,527.0,598.0,46.8,-12.0,419.0,495.0,45.8,-12.0,5.1,94.2,99.3,44.1,55.9,pahlssa01
2,2008-09,TOT,31.0,575.0,716.0,44.5,-12.0,453.0,602.0,42.9,-14.0,6.9,91.5,98.5,41.1,58.9,pahlssa01
3,2008-09,ANA,31.0,443.0,587.0,43.0,-14.0,348.0,492.0,41.4,-15.0,7.3,91.0,98.2,41.7,58.3,pahlssa01
4,2008-09,CHI,31.0,132.0,129.0,50.6,-7.1,105.0,110.0,48.8,-8.9,6.0,93.6,99.6,38.6,61.4,pahlssa01
5,2009-10,CBJ,32.0,736.0,888.0,45.3,-4.6,572.0,687.0,45.4,-3.8,6.0,92.7,98.7,31.9,68.1,pahlssa01
6,2010-11,CBJ,33.0,758.0,868.0,46.6,-5.7,586.0,644.0,47.6,-5.3,6.1,91.4,97.5,33.6,66.4,pahlssa01
7,2011-12,TOT,34.0,766.0,881.0,46.5,-6.2,571.0,633.0,47.4,-3.9,6.4,93.4,99.8,29.1,70.9,pahlssa01
8,2011-12,CBJ,34.0,544.0,663.0,45.1,-6.2,415.0,475.0,46.6,-3.4,6.0,92.8,98.8,31.3,68.7,pahlssa01
9,2011-12,VAN,34.0,222.0,218.0,50.5,-4.9,156.0,158.0,49.7,-4.4,7.5,95.2,102.0,22.1,77.9,pahlssa01
1,2007-08,COL,30.0,64.0,72.0,47.1,-1.5,45.0,54.0,45.5,-5.1,0.0,100.0,100.0,71.7,28.3,parkesc01
1,2007-08,MIN,30.0,532.0,600.0,47.0,-3.2,416.0,445.0,48.3,-0.9,9.3,93.6,102.0,45.0,55.0,parrima01
2,2008-09,DAL,31.0,306.0,416.0,42.4,-10.,241.0,302.0,44.4,-9.7,7.4,93.1,100.0,55.7,44.3,parrima01
3,2009-10,TBL,32.0,135.0,168.0,44.6,-4.6,99.0,120.0,45.2,-3.6,2.9,91.4,94.3,29.0,71.0,parrima01
4,2010-11,BUF,33.0,27.0,24.0,52.9,</td,17.0,16.0,51.5,</td,8.3,70.0,78.3,53.8,46.2,parrima01
1,2007-08,OTT,29.0,1171.0,1322.0,47.0,-6.9,873.0,972.0,47.3,-5.1,9.7,92.3,102.0,44.8,55.2,phillch02
2,2008-09,OTT,30.0,1282.0,1229.0,51.1,1.8,961.0,913.0,51.3,1.5,6.7,90.4,97.0,46.6,53.4,phillch02
3,2009-10,OTT,31.0,1309.0,1310.0,50.0,-3.4,973.0,953.0,50.5,-3.8,9.4,91.4,100.0,48.4,51.6,phillch02
4,2010-11,OTT,32.0,1206.0,1403.0,46.2,-5.7,875.0,1056.0,45.3,-6.7,6.6,89.9,96.4,48.0,52.0,phillch02
5,2011-12,OTT,33.0,1208.0,1232.0,49.5,-6.4,863.0,917.0,48.5,-5.8,8.2,93.4,101.0,49.7,50.3,phillch02
6,2012-13,OTT,34.0,821.0,767.0,51.7,-2.8,613.0,578.0,51.5,-2.0,5.9,92.0,98.0,52.3,47.7,phillch02
7,2013-14,OTT,35.0,1050.0,980.0,51.7,-3.1,790.0,787.0,50.1,-3.7,7.4,90.8,98.1,47.1,52.9,phillch02
8,2014-15,OTT,36.0,503.0,642.0,43.9,-6.8,365.0,488.0,42.8,-6.1,7.5,94.0,101.0,46.3,53.7,phillch02
1,2007-08,EDM,31.0,553.0,709.0,43.8,-5.2,408.0,537.0,43.2,-6.0,8.9,91.8,100.0,44.2,55.8,pisanfe01
2,2008-09,EDM,32.0,387.0,520.0,42.7,-7.1,288.0,401.0,41.8,-8.5,10.0,92.1,102.0,45.9,54.1,pisanfe01
3,2009-10,EDM,33.0,375.0,544.0,40.8,-7.2,274.0,411.0,40.0,-10.0,6.5,90.3,96.8,47.3,52.7,pisanfe01
4,2010-11,CHI,34.0,533.0,642.0,45.4,-11.0,400.0,462.0,46.4,-10.0,6.9,93.9,100.0,36.0,64.0,pisanfe01
1,2007-08,WSH,30.0,1241.0,974.0,56.0,1.7,944.0,724.0,56.6,1.7,8.5,90.8,99.2,54.1,45.9,potito01
2,2008-09,WSH,31.0,780.0,704.0,52.6,-1.9,578.0,511.0,53.1,-1.4,8.9,90.3,99.2,49.2,50.8,potito01
3,2009-10,WSH,32.0,1182.0,1053.0,52.9,-0.8,852.0,778.0,52.3,0.4,10.1,93.1,103.0,47.7,52.3,potito01
4,2010-11,WSH,33.0,289.0,294.0,49.6,-5.5,211.0,215.0,49.5,-6.1,8.0,88.8,96.8,52.1,47.9,potito01
5,2012-13,WSH,35.0,201.0,239.0,45.7,-7.8,150.0,191.0,44.0,-8.2,6.6,93.7,100.0,47.5,52.5,potito01
1,2007-08,EDM,30.0,754.0,889.0,45.9,-2.2,570.0,678.0,45.7,-2.9,8.3,89.1,97.4,37.4,62.6,reasoma01
2,2008-09,ATL,31.0,754.0,849.0,47.0,-1.8,565.0,635.0,47.1,-2.2,8.3,93.8,102.0,40.2,59.8,reasoma01
3,2009-10,ATL,32.0,613.0,712.0,46.3,-4.0,440.0,545.0,44.7,-5.0,7.9,91.6,99.5,40.6,59.4,reasoma01
4,2010-11,FLA,33.0,1022.0,1046.0,49.4,-1.2,765.0,793.0,49.1,-1.3,7.6,93.1,100.0,41.3,58.7,reasoma01
5,2011-12,NYI,34.0,458.0,619.0,42.5,-5.7,344.0,434.0,44.2,-4.3,2.7,90.4,93.2,42.2,57.8,reasoma01
6,2012-13,NYI,35.0,249.0,263.0,48.6,0.0,184.0,186.0,49.7,1.3,6.3,90.6,96.9,35.5,64.5,reasoma01
1,2007-08,NYR,29.0,1356.0,1085.0,55.6,-1.1,1058.0,834.0,55.9,-2.4,7.1,91.4,98.6,57.7,42.3,rozsimi01
2,2008-09,NYR,30.0,1240.0,1033.0,54.6,0.4,945.0,776.0,54.9,0.8,7.5,89.8,97.3,58.5,41.5,rozsimi01
3,2009-10,NYR,31.0,1273.0,1281.0,49.8,-1.1,944.0,970.0,49.3,-1.8,8.4,92.7,101.0,50.7,49.3,rozsimi01
4,2010-11,TOT,32.0,1063.0,978.0,52.1,3.3,811.0,720.0,53.0,3.7,8.7,91.7,100.0,47.7,52.3,rozsimi01
5,2010-11,NYR,32.0,508.0,488.0,51.0,1.7,390.0,362.0,51.9,-0.3,9.1,92.3,101.0,50.2,49.8,rozsimi01
6,2010-11,PHX,32.0,555.0,490.0,53.1,4.7,421.0,358.0,54.0,6.9,8.4,91.1,99.5,45.4,54.6,rozsimi01
